item_no	col_name	var_name	col_type
1	vmonth	month	i
3	age	age	i
6	sex	sex	i
7	pregnant	pregnant	i
13	racereth	race	i
16	paymcare	medicare_payment	i
24	usetobac	tobacco	i
41	pastvis	past_visits	i
42	major	major_reason	i
43	diag1	dx1	c
45	diag2	dx2	c
47	diag3	dx3	c
53	asthma	asthma	i
59	copd	copd	i
70	totchron	n_chronic_conditions	i
95	psa	psa_test	i
109	chlamyd	chlamydia_test	i
216	med	any_medication	i
247	ncmed1	rx01_continued	i
248	ncmed2	rx02_continued	i
249	ncmed3	rx03_continued	i
250	ncmed4	rx04_continued	i
251	ncmed5	rx05_continued	i
252	ncmed6	rx06_continued	i
253	ncmed7	rx07_continued	i
254	ncmed8	rx08_continued	i
255	ncmed9	rx09_continued	i
256	ncmed10	rx10_continued	i
280	noprovid	provider_no_answer	i
281	phys	provider_physician	i
282	physasst	provider_physician_asst	i
283	npnmw	provider_nurse_prac	i
284	rnlpn	provider_rn	i
390	regionoff	region	i
393	msa	metropolitan	i
466	drugid1	rx01_id	c
467	prescr1	rx01_prescription	i
470	rx1cat1	rx01_cat1	c
471	rx1cat2	rx01_cat2	c
472	rx1cat3	rx01_cat3	c
473	rx1cat4	rx01_cat4	c
486	drugid2	rx02_id	c
487	prescr2	rx02_prescription	i
490	rx2cat1	rx02_cat1	c
491	rx2cat2	rx02_cat2	c
492	rx2cat3	rx02_cat3	c
493	rx2cat4	rx02_cat4	c
506	drugid3	rx03_id	c
507	prescr3	rx03_prescription	i
510	rx3cat1	rx03_cat1	c
511	rx3cat2	rx03_cat2	c
512	rx3cat3	rx03_cat3	c
513	rx3cat4	rx03_cat4	c
526	drugid4	rx04_id	c
527	prescr4	rx04_prescription	i
530	rx4cat1	rx04_cat1	c
531	rx4cat2	rx04_cat2	c
532	rx4cat3	rx04_cat3	c
533	rx4cat4	rx04_cat4	c
546	drugid5	rx05_id	c
547	prescr5	rx05_prescription	i
550	rx5cat1	rx05_cat1	c
551	rx5cat2	rx05_cat2	c
552	rx5cat3	rx05_cat3	c
553	rx5cat4	rx05_cat4	c
566	drugid6	rx06_id	c
567	prescr6	rx06_prescription	i
570	rx6cat1	rx06_cat1	c
571	rx6cat2	rx06_cat2	c
572	rx6cat3	rx06_cat3	c
573	rx6cat4	rx06_cat4	c
586	drugid7	rx07_id	c
587	prescr7	rx07_prescription	i
590	rx7cat1	rx07_cat1	c
591	rx7cat2	rx07_cat2	c
592	rx7cat3	rx07_cat3	c
593	rx7cat4	rx07_cat4	c
606	drugid8	rx08_id	c
607	prescr8	rx08_prescription	i
610	rx8cat1	rx08_cat1	c
611	rx8cat2	rx08_cat2	c
612	rx8cat3	rx08_cat3	c
613	rx8cat4	rx08_cat4	c
626	drugid9	rx09_id	c
627	prescr9	rx09_prescription	i
630	rx9cat1	rx09_cat1	c
631	rx9cat2	rx09_cat2	c
632	rx9cat3	rx09_cat3	c
633	rx9cat4	rx09_cat4	c
646	drugid10	rx10_id	c
647	prescr10	rx10_prescription	i
650	rx10cat1	rx10_cat1	c
651	rx10cat2	rx10_cat2	c
652	rx10cat3	rx10_cat3	c
653	rx10cat4	rx10_cat4	c
1066	cstratm	stratum	i
1067	cpsum	survey_id	i
1070	patwt	weight	n
