id	desc
a07001	FOLIC ACID; NIACIN; VITAMIN E; PYRIDOXINE; CYANOCOBALAMIN
a07002	CHOLECALCIFEROL-CALCIUM CITRATE
a07003	MULTIVITAMIN-LUTEIN
a07008	ZINC; VITAMINS; FOLIC ACID; POTASSIUM IODIDE; MAGNESIUM AMINO ACIDS CHELATE
a07010	ASCORBIC ACID-GLYCERIN
a07019	VITAMIN A; RIBOFLAVIN; PYRIDOXINE; CHOLECALCIFEROL; THIAMINE
a07022	ZINC; VITAMIN A; VITAMIN E; RIBOFLAVIN; ASCORBIC ACID
a07027	CALCIUM; MAGNESIUM; CHOLECALCIFEROL
a07032	HYPERICUM 3X-TOPICAL ANESTHETICS
a07033	HIV VACCINE
a07035	ANALGESICS; DIETARY SUPPLEMENT; ANTIOXIDANTS
a07038	FORSKOLIN
a07042	DIETARY SUPPLEMENT-HERBAL PRODUCTS
a07044	DIETARY SUPPLEMENT-PROTEIN
a07047	MUSHROOM EXTRACT
a07048	POLIDOCHANOL
a07049	CARRASYN
a07050	ANGIOTENSIN II RECEPTOR BLOCKERS
a07051	RHEUMATOID ARTHRITIS VACCINE
a07053	MURAMYL TRIPEPTIDE PHOSPHATIDYLETHANOLAMINE (MTP-PE)
a07055	4-AMINOPYRIDINE
a07059	DIETHYLCARBAMAZINE
a07061	XANTHAN GUM
a07064	ISOPENTYLHYDROCUPREINE
a07065	CURCUMIN
a07068	ETHYL-APOVINCAMINATE
a07069	CYANOACRYLATE
a07071	TYROSINE
a07072	DISOPROMINE
a07078	SULFORAPHANE GLUCONSINOLATE
a10000	ACACIA GUM; ALOE VERA TOPICAL; GUM GHATTI
a10001	ACACIA GUM; HYDROCORTISONE; LEVONORGESTREL; NEOMYCIN; POLYMYXIN B SULFATE
a10004	ACETONE; ETHANOL; FUCHSIN; PHENOL TOPICAL; RESORCINOL TOPICAL
a10009	ACETONE-BENZOYL PEROXIDE TOPICAL
a10022	AMINOACETIC ACID-CALCIUM CARBONATE
a10028	AMMONIUM CARBONATE; LAVENDER OIL; LEMON OIL; NUTMEG OIL
a10030	AMMONIUM PHOSPHATE; SODIUM PHOSPHATE; SODIUM PYROPHOSPHATE
a10032	ANETHOLE; BENZOCAINE TOPICAL; DEXTROMETHORPHAN; MENTHOL; PEPPERMINT
a10038	ASAFETIDA TINCTURE; CAPSICUM; CASCARA SAGRADA; GINGER; NUX VOMICA
